,0,1,accuracy,macro avg,weighted avg
precision,0.7265258215962441,0.0,0.7265258215962441,0.36326291079812206,0.5278397694460976
recall,1.0,0.0,0.7265258215962441,0.5,0.7265258215962441
f1-score,0.8416043507817812,0.0,0.7265258215962441,0.4208021753908906,0.6114472924107073
support,619.0,233.0,0.7265258215962441,852.0,852.0
